cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugxzs5E1w3vK95Xn8ER4AaABAg,Jawaban  Bu mentri jawabanya   bluder.,1 hari yang lalu,@CVB666-,UCd2iFSiV1qCUyjJ5oYAU3bA,0,,https://yt3.ggpht.com/-seWNlr4aNgAeIhY9MuL0obwKhSZ4Vrx6yIA0Xp-nP7xAICA5tOjlw5eyHrSB8Ux_m1GJhzgWBY=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.73704
UgxX5yabtAI_WDOhcth4AaABAg,Tdk ada kata lain audit semua..,1 hari yang lalu,@adrrianuskaban77,UCjg6mDXX5OFnMHtEFG2g7DQ,0,,https://yt3.ggpht.com/jvZVsyhSL69sjwWK6lEom-OexQoEfARu28RvJbRAIjkcG-3bpPqPhOgonyZ5x6M0nrNz9bSecA=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.740175
UgyKJV0PBznKrNCr1Nl4AaABAg,Apa penjabat kita bawa barang dari luar indonesia di cek bea cukai...,1 hari yang lalu,@adrrianuskaban77,UCjg6mDXX5OFnMHtEFG2g7DQ,0,,https://yt3.ggpht.com/jvZVsyhSL69sjwWK6lEom-OexQoEfARu28RvJbRAIjkcG-3bpPqPhOgonyZ5x6M0nrNz9bSecA=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.742742
UgxYxLaMKALMnzy0Zuh4AaABAg,Beginilah mental pejabat kita harus menunggu  viral dulu baru diselesaikan.,1 hari yang lalu,@halimrachmad3439,UCnjh9A1WdAXC-n64Zqthuyw,0,,https://yt3.ggpht.com/ytc/AIdro_lsSZLqKFM5KL263WBprYwEGr9cjUr-tjG7Ou1kJZaZB_g=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.744356
UgzM4KeG7qesaXRm81V4AaABAg,KPK  harap  periksa  semua petugas bea cukai se indonesia,1 hari yang lalu,@ardambuton5810,UCuqb5U7SCHenyCnMa55p7ew,0,,https://yt3.ggpht.com/ytc/AIdro_kIANDQKxU3WoGBAjFVqXaLc8lA7MNQb47vUT9ZvcY=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.747299
UgzlYKG35W5550hvIkZ4AaABAg,Percuma  di kasi teguran  Ibu mentri !!!!,1 hari yang lalu,@ardambuton5810,UCuqb5U7SCHenyCnMa55p7ew,0,,https://yt3.ggpht.com/ytc/AIdro_kIANDQKxU3WoGBAjFVqXaLc8lA7MNQb47vUT9ZvcY=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.749411
UgzDKHSZUQte_fGRSk14AaABAg,Gaji besar masih aja cari can samping....manusia manusiaa,1 hari yang lalu,@adindamahesya8313,UCSXmejostZZsBOsodmFC3Bw,0,,https://yt3.ggpht.com/ytc/AIdro_mtwuS3-tWkFh-Ty4OL6tFrT99fxVCmp_d0N7pTucMyT8w=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.752395
Ugy4NzMsUZxKY19rH9V4AaABAg,Bu sri mulyani maaf banget saya orang kecil ibu terlambat klau mau buka bukaan udah dekat habis jabatan ajja semua di impikan di media sosial kenapa engga dari dulu menjabat sebagai menteri apa takut di berhentiin ya apa  takut miskin kaya sy maaf sy cuma komen ajja barangkali ibu lupa apa gemana txs....,1 hari yang lalu,@ahmadarifinsp5186,UCFOgdssqUUizS4yxlAS3jqw,0,,https://yt3.ggpht.com/ytc/AIdro_kDfqKc9RL78KT1wF9Y-vKjGTlt2Ef5PEzmXkjcBw4sn_A=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.754963
Ugyk2rxWbz9XMNDuLlN4AaABAg,Bea cukai dari jaman Pak Harto sudah Banyak ketimpangan Korup,1 hari yang lalu,@irfanhanafi4595,UCLCTox0BM1SjBJzEioUEBYQ,0,,https://yt3.ggpht.com/ytc/AIdro_nVGEmcg_qyMERmrUFfH43OBgJRFB0fHUOqR93VMl2Hexc=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.758043
UgzEQ4bYUXsc_2u45MV4AaABAg,"TEGURAN TEGAS BEA CUKAI, CBA MBA TEGUR YG MIMPIN GMNA NI EKONOMI NEGARA AMBRUK BEGINI COBA???",1 hari yang lalu,@nanangkurniawan5641,UCIJ8M9vCc0eHefcQWsL2lqg,0,,https://yt3.ggpht.com/ytc/AIdro_njQAnXXnIBJWa8A-I_ZLgo6agUQezV59tVc0UnwX-Or8o=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.760057
